FEN,Evaluation
8/8/p6b/3p1k2/5p2/1P3K2/P6P/2R5 b - - 1 46,525
8/5k2/1R6/pp6/r7/8/1K4R1/8 b - - 3 65,5253
5k2/PR6/1Kp5/6p1/r7/8/8/8 b - - 0 46,5256
5rk1/qb1Q4/3P1pPp/2p1r3/N1P1p3/1P6/6PP/3RB2K b - - 1 48,5257
4q3/4Pr1k/p1PR2Nn/P6p/2Q1Pp2/5PpP/4B3/5R1K b - - 0 38,5258
2b3k1/5p2/2q4r/4Q2p/2p1P1pP/4P3/1P4P1/3R1BK1 b - - 2 36,526
r6k/2nbqr2/p2p2pP/2pPpP2/P1p1P3/6Q1/1P2N3/2K3RR w - - 0 31,5261
8/n2k2p1/3N4/3PPP1p/1P6/3K4/7P/8 b - - 0 42,5263
8/5k2/1p4R1/p7/8/r7/2K3R1/8 b - - 2 63,5264
8/8/2p2k1p/1pP2P2/1P2K3/7P/8/8 b - - 0 52,5266
8/8/4k3/2R5/2pR2K1/3p4/2r5/8 w - - 5 69,5267
6r1/P5rk/1Pp4p/2PpR3/8/3N3P/5PBK/6R1 b - - 0 55,5269
3r1k2/1pp3pQ/p1n2p1p/6q1/3P4/2P1RPNP/bPB2P2/6K1 w - - 0 27,527
8/8/PK3k2/1R6/6p1/7r/8/8 w - - 0 53,5271
7k/1pK4P/p3R3/3r4/4b3/7R/8/8 b - - 6 48,5273
1r5r/1PK5/8/8/2R5/1R2k3/8/8 b - - 10 58,5274
8/p1R5/5k2/7p/3K4/5r2/6R1/8 w - - 3 55,5276
8/8/R4k2/2r2p2/8/5K2/6R1/8 b - - 32 86,5277
8/3k2K1/7R/8/8/2Rp1r2/8/8 b - - 0 61,5278
8/8/4R3/PK4k1/8/8/8/5r2 w - - 5 56,5279
8/p7/1p6/5kn1/2p4B/2P4P/P5PK/8 w - - 0 54,528
8/8/K5k1/1P6/8/8/r7/5R2 w - - 5 52,5280
7k/1R6/5R2/7p/5n2/3r3P/5K2/8 b - - 4 38,5281
8/8/r4k2/5p2/2R2K2/6R1/8/8 w - - 21 76,5282
8/8/1KP5/5k2/8/8/1r6/4R3 w - - 1 58,5283
8/4K3/3P2k1/8/8/8/7R/4r3 w - - 1 59,5284
8/1R6/P7/8/1K1k4/8/8/7r w - - 7 64,5285
1r6/4k3/2K5/1P6/7R/8/8/8 b - - 2 71,5286
1k6/1p6/pR1N4/3B4/4PK2/2r5/8/8 b - - 0 46,5287
2K5/7r/1P1k4/2R5/8/8/8/8 w - - 1 62,5288
8/4k1K1/6P1/8/R7/8/8/6r1 b - - 22 67,5289
3qr1k1/2n2pbp/pN3np1/P2Pp1B1/1p6/5P2/1P1Q2PP/4RB1K w - - 0 27,529
8/1R6/5k2/p6P/6K1/rp6/5N2/8 w - - 1 70,5290
8/R7/6p1/7p/7k/2K5/8/8 w - - 0 62,5291
8/3K4/5k2/3P4/8/8/r7/4R3 w - - 14 73,5292
Q7/8/1K6/R6p/3q3P/8/5k2/8 w - - 3 75,5293
8/8/6p1/4kp2/2Kp4/8/7R/8 b - - 1 71,5294
8/2k3K1/6P1/8/8/5r2/3R4/8 w - - 5 60,5295
8/8/4r1P1/8/1p3K2/k7/P5R1/8 b - - 2 55,5296
3k4/1R6/p1P1P1p1/3K4/8/8/8/r7 w - - 1 48,5297
8/6R1/7P/3k3K/8/8/8/r7 w - - 5 68,5298
8/R7/6p1/7p/7P/1K4k1/8/8 b - - 0 52,5299
8/8/3p1kpp/p2P1p2/n2K1P1P/1R4P1/1p6/8 w - - 0 48,53
1n1q1r1k/2n1bpp1/1r2p2p/p3N2P/Pp1P1B2/4P1P1/1P2QPK1/R1R5 w - - 0 25,530
6R1/1k6/5K2/6P1/8/6r1/8/8 b - - 0 80,5300
8/3n4/3k4/R7/4B3/5K2/8/8 w - - 9 102,5301
7R/8/p6P/8/5p1r/3N1k2/8/5K2 w - - 4 53,5302
5k2/2K4R/2P4p/8/8/8/8/7r w - - 1 68,5303
1K3k2/7R/2P4p/8/8/8/8/7r b - - 6 70,5304
6R1/8/6p1/7p/8/7k/2K5/8 b - - 1 58,5305
3k4/8/6K1/8/p3Rp1b/8/1B6/8 b - - 0 54,5306
5k2/2R5/8/5K2/8/5N2/4p1n1/8 b - - 0 73,5307
5k2/3R1p2/6Pp/5P1r/4K3/8/8/8 w - - 1 65,5308
6r1/4R3/1p3RP1/pk4K1/8/1P6/P7/8 w - - 5 59,5309
1r4k1/R4p1p/8/n2B1p2/2p5/8/1P1b1PPP/R5K1 w - - 2 32,531
4k3/R5p1/1P5p/Pr6/8/8/6P1/6K1 b - - 2 52,5310
7R/6P1/1r6/3bKN2/6k1/8/8/8 b - - 8 58,5311
8/1K3p2/2R5/5k2/8/8/8/8 b - - 0 56,5312
6bk/1p6/p2P1P2/5p2/1P6/P6P/6B1/6K1 b - - 0 44,5313
7k/3R4/3p1P2/2p2K2/2P4p/8/8/4r3 w - - 0 55,5314
5b2/8/k7/8/6KP/3pBN2/8/8 w - - 0 65,5315
8/1R3p1p/8/3p1p2/8/1p5P/1k1K2P1/8 b - - 0 48,5316
4kr1R/8/4K3/4B3/8/8/8/8 w - - 3 58,5317
8/8/4b3/1R4kp/8/5BK1/8/8 b - - 8 57,5318
8/k7/P4R2/2K5/8/8/4b3/8 w - - 1 105,5319
8/1n2k3/pB1b4/p2Pp1pp/K3Pp2/3N1P1P/1P4P1/8 b - - 7 47,532
rq3k2/1pbr2p1/2pP1nBp/p1P1pN2/3P3P/PQB5/1P6/2KR2R1 w - - 1 29,5320
8/7K/4k1P1/8/5R2/8/8/7r w - - 5 58,5321
8/1k4p1/8/1P4R1/2N5/7p/4r3/6K1 w - - 6 75,5322
8/3n1k2/R5p1/3K2P1/8/8/8/8 b - - 3 61,5323
8/2k2K2/4P3/1P1R4/8/8/8/5r2 w - - 3 68,5324
8/8/2b5/8/2k1NK2/4R3/8/8 w - - 8 91,5325
8/2k5/8/2K5/2PR2Bp/8/7r/8 b - - 6 60,5326
8/1k4B1/7P/6r1/1pp5/7R/6K1/8 w - - 2 55,5327
5k2/3P1p2/2K5/6P1/4R3/8/3r4/8 b - - 2 56,5328
6k1/r1r2pp1/1p4q1/1B1p4/P1pQb3/2P1B1Pp/5R1P/4R1K1 w - - 1 30,533
1k6/6R1/2K5/P1P5/8/8/8/1r6 w - - 1 58,5330
8/2k5/8/pp6/8/P1p4R/3pK3/8 b - - 1 60,5331
2Rr4/1k6/8/p4K2/5p2/8/8/8 w - - 0 56,5332
8/8/5pp1/pP2p1k1/6P1/B1rR1PK1/8/8 b - - 2 52,5333
1r6/6k1/2K5/7p/1R5p/8/8/8 w - - 0 75,5335
3r4/P6R/1K6/5p2/5N2/4k2p/8/8 w - - 0 68,5336
4K3/8/4P2k/R7/8/8/3r4/8 w - - 0 73,5337
1r5R/6P1/5K2/3b1N2/6k1/8/8/8 b - - 6 57,5338
8/4NR2/4K1pk/1p5p/7P/1r4P1/8/8 b - - 4 79,5339
1B6/8/7p/b2k2p1/P5P1/1P2K3/8/8 w - - 5 62,534
K6R/2B5/8/4p3/4k1p1/7p/8/8 b - - 3 71,5340
6R1/5P2/7p/1r5P/6Pk/KR6/8/8 b - - 2 64,5342
8/8/8/5P2/1r2RK2/1B6/5k2/8 b - - 0 84,5343
8/6K1/r7/5P2/8/1R6/3k4/8 b - - 10 70,5344
8/3k4/1KN5/8/8/8/1Pr5/3R4 b - - 4 57,5345
8/3n4/6p1/PR6/4kp2/8/2P5/6K1 b - - 0 47,5346
8/6k1/3q2p1/p7/4N3/6pP/2R1RP1K/8 w - - 0 47,5347
4R3/2K5/P7/5k2/8/8/8/1r6 b - - 6 59,5348
8/8/5p2/7p/8/4K1k1/1R6/8 b - - 0 64,5349
r5kr/1p3p1p/1R1P2p1/2pP1n2/8/8/PB3PPP/4R1K1 b - - 1 24,535
8/R7/8/7p/6p1/6k1/8/5K2 b - - 3 56,5350
7K/7P/6r1/k7/P4R2/8/8/8 b - - 0 59,5351
4kB2/P2nP3/3P4/7R/6p1/2r3K1/8/8 w - - 5 64,5352
8/3k1K2/1R1b4/1p3P2/8/8/8/8 b - - 0 58,5353
3R4/8/8/p7/2k5/4K3/8/8 w - - 3 59,5354
8/K7/3p4/8/2k5/8/8/2R5 b - - 3 85,5355
4R3/k2K4/P1P5/8/8/8/2r5/8 b - - 2 72,5356
r1r5/3qpk1p/5pp1/1NpPP3/P6P/2B1Q3/1P4P1/R6K w - - 1 28,5357
1r6/1PR5/5K2/3k4/3P4/8/8/8 w - - 1 56,5358
3R4/8/1KPk4/8/8/8/8/5r2 b - - 2 90,5359
rr4k1/p1n2qb1/3nN2p/3p1pp1/PP1P4/2B2B1P/Q4PP1/2R1R1K1 b - - 0 33,536
1k6/1p5R/3P4/2PK4/1r6/8/8/8 b - - 1 59,5360
r7/8/2K5/P7/5k2/8/R7/8 b - - 0 72,5361
1R6/K7/5k2/5pp1/8/7P/8/8 w - - 0 58,5362
8/1R1b4/8/1p6/8/8/5K1k/8 b - - 7 88,5363
8/8/6p1/8/6K1/8/2R4p/6k1 w - - 2 59,5364
3R4/8/8/8/5p2/4pK2/3k4/8 b - - 3 69,5365
6K1/8/4p2k/3pP3/p4rR1/8/8/8 w - - 0 66,5366
6K1/6P1/5k2/8/8/6r1/8/7R w - - 11 87,5367
R7/P7/8/8/4k3/8/r7/3K4 b - - 0 68,5368
8/p6P/1k4K1/1P3R2/1P6/8/8/3r4 b - - 2 59,5369
3r1rk1/p3q1pp/1p2pn2/8/2N5/4BPQ1/PP3P1P/3RR1K1 b - - 9 28,537
8/8/8/p3R1R1/3k3K/8/8/r7 w - - 1 71,5370
8/1r1PK3/8/R7/3kp1P1/8/8/8 b - - 0 59,5371
8/5k2/1P5R/3K1P2/1r6/8/8/8 b - - 0 50,5372
5rR1/4k2P/7K/8/8/8/8/8 b - - 6 71,5373
5Q2/8/8/1R6/6k1/2K5/8/2q5 w - - 3 64,5374
8/k5P1/P3KR2/2p5/8/6r1/8/8 w - - 3 64,5375
7r/3RP1k1/p5n1/P2P4/2q1P1p1/2N1Q1p1/6P1/5RK1 b - - 0 38,5376
6b1/4k1P1/6K1/8/8/8/2B5/8 b - - 8 65,5377
3k4/7R/4K3/p1bP4/8/6p1/8/8 w - - 2 55,5378
r1b2rk1/p1qnppb1/1n4pp/3pP1N1/2pP4/2P2N2/1PB2PPP/R1BQR1K1 w - - 0 17,538
8/3k2K1/3r1P1R/7P/8/6p1/8/8 b - - 0 50,5380
8/1R6/8/4p3/2N2n2/2K5/k7/8 b - - 5 69,5381
3k4/R7/2K5/3B4/8/8/8/3r4 b - - 44 88,5383
1R3n2/5Pk1/6P1/7B/6K1/3b4/8/8 b - - 0 64,5384
3R4/2R5/8/1r6/4K3/8/1k6/8 b - - 9 64,5385
1k6/1P1Rp3/4rb2/8/3p2K1/8/8/1R6 b - - 0 76,5386
8/4K3/4RP2/3r4/4p1P1/5k2/8/8 b - - 0 84,5387
4R3/8/8/4K3/6k1/5p2/8/8 w - - 0 72,5388
8/1KP2k2/8/8/4R3/8/r7/8 b - - 8 71,5389
r1b2rk1/1p3qn1/p5p1/2pPp3/PR2PbP1/8/2Q1BBK1/3N3R w - - 0 30,539
8/8/8/4R3/1p1p4/3K4/1k6/8 b - - 0 72,5390
8/1PK1k3/8/3R4/8/8/8/r7 b - - 4 86,5392
8/3R4/1Pb2Pk1/1r5p/3B4/4P1K1/8/8 w - - 11 79,5393
6R1/1k1P4/4K3/8/4p3/8/8/2r5 b - - 0 56,5394
8/n1k1pq2/Pr1p4/Q1PP4/5P2/7p/6BP/4R2K b - - 0 45,5395
7k/R7/7P/p2r2P1/1p5K/8/P7/8 b - - 0 57,5398
k7/p7/1p5R/4BP1p/2P5/1P6/PK6/7r b - - 0 42,5399
r3brk1/2q1b1pp/p1p1p3/2ppPp2/5P2/1PNP3R/P1P3PP/R1B1Q1K1 b - - 2 15,54
r1k3r1/ppp3Pp/4N3/8/2p5/3n4/PP3PPP/RNB3K1 w - - 0 18,540
8/1kb5/1q2Q3/p1p5/1p1N4/1P6/6P1/2R4K w - - 4 62,5400
1k1n3r/ppb5/3B2p1/3PPP2/5P2/2Q2N1q/5K2/2R5 b - - 4 42,5401
2r5/5rpk/p5p1/1p1PP2p/8/P2QR2P/1BP2PP1/5RK1 w - - 6 33,5402
5RBk/p5p1/7p/8/8/3q4/5P1P/4R1K1 b - - 2 41,5403
8/4RK2/r7/8/5PkB/6P1/8/8 w - - 5 69,5404
4r2k/ppQ3pp/8/5p2/8/BB3P2/P4q2/2KR4 b - - 1 27,5405
8/4P2k/4K3/8/6R1/8/8/4r3 w - - 7 76,5406
8/1R3R1p/6p1/2bBk1r1/5P2/7P/8/5K2 b - - 0 42,5407
7k/1p3R2/3bN1R1/p6p/n6P/6P1/7K/4r3 b - - 0 41,5408
8/P7/1K6/7p/2R4P/6k1/8/r7 w - - 3 64,5409
1r2k2r/5p1p/2p1p1p1/R1BnP3/3Q1P2/2P5/1qP3PP/5RK1 b k - 0 23,541
8/5P1k/8/6Pp/5b2/7K/8/2R5 b - - 0 50,5410
6k1/R7/5nB1/7p/5P2/6P1/7P/6K1 b - - 0 48,5411
6R1/8/8/8/6pk/5p2/5K2/8 w - - 4 87,5412
1k4r1/1R6/P1KP4/8/8/8/8/8 b - - 2 64,5413
8/8/3P4/1R2nk1p/r1P2p2/2K2P2/7P/3R4 b - - 0 45,5414
4r3/2K5/4Pp2/2R2P2/1PP1k3/8/8/8 b - - 8 74,5415
8/2k5/p1P1K3/P2PP3/8/8/5Rp1/6r1 w - - 1 76,5416
1r6/8/2R5/1P6/2K1k3/8/8/8 b - - 4 64,5417
8/1R2bk2/5p2/5K2/7p/5P1P/8/8 b - - 0 42,5418
5r2/1P6/p5p1/2K5/P3k3/8/1R3P2/8 b - - 0 48,5419
r3k2r/pp3ppp/1qn1bn2/1BbpN3/3B4/2N5/PPP2PPP/R2Q1RK1 w kq - 1 11,542
6k1/8/1R6/5NK1/r5P1/8/8/8 b - - 2 57,5420
8/5R2/8/8/3K2p1/8/6k1/8 w - - 4 57,5421
8/8/5K2/p1k3p1/6Pp/2p4P/8/1R6 w - - 0 50,5423
R7/1r4k1/8/5BK1/6P1/8/8/8 w - - 5 59,5424
6B1/R7/7k/2r4P/5PK1/1Pb5/8/8 b - - 2 56,5425
8/2N1PR2/2k5/1p6/p4P2/7K/4r2P/8 w - - 0 48,5426
6R1/8/8/4KP2/7k/8/8/2b5 w - - 1 93,5427
8/7r/1p1k1R2/1P2pP2/4K3/4B3/8/8 b - - 0 55,5428
8/8/3B2p1/5p1p/7P/5kPr/8/5RK1 b - - 27 65,5429
2r1k3/nb3p1p/p3pPpP/3pP3/3P1P2/1PNB4/P1RK4/8 w - - 15 44,543
r2qkb1r/pp3ppp/2n1pn2/3p1b2/2PP4/2N1BP2/PP4PP/R2QKBNR w KQkq - 0 8,5431
8/1K1P4/5k2/p7/8/8/4R3/3r4 w - - 3 56,5432
r7/P5R1/1k6/8/7P/8/4K3/8 w - - 3 111,5433
8/2K5/5k2/1rP5/8/8/4R3/8 w - - 3 59,5435
6R1/pp2R3/5pkp/8/6q1/8/1KP3P1/8 b - - 3 38,5436
1r5k/8/4Bq2/5P2/4QR1p/8/7P/7K b - - 2 43,5437
8/8/2kp2pp/3p4/R2KpP2/7P/6P1/8 b - - 9 51,5438
5r1k/1p2q2p/p5p1/4Pr2/3BpPQ1/1B5P/PP6/6RK b - - 0 33,544
5RQ1/7k/3p3B/3P3n/3p4/3q3P/7K/1r6 b - - 4 35,5440
8/2K5/2P2k2/1r6/8/8/4R3/8 b - - 0 59,5441
3r4/p5P1/PpR2R2/5kN1/7r/1K1b4/1P6/8 b - - 2 63,5442
8/2P2kp1/p3N3/6P1/3p4/P3n3/1P1K1R2/6r1 b - - 2 42,5443
5R2/8/8/p1kp4/6K1/8/8/8 w - - 2 54,5444
6k1/4P2p/3p4/6P1/2P5/6r1/4PRp1/6K1 b - - 0 40,5445
2R5/8/1k5r/4K3/4B3/5P2/8/8 w - - 5 59,5446
1R2K3/8/4P3/6pk/8/1P6/1r6/8 b - - 2 64,5447
4r3/8/8/1P5k/6p1/2RN4/5KP1/8 w - - 0 57,5448
4r3/1pP5/3K4/1P6/7p/5R2/7k/8 b - - 1 46,5449
r1b1rk2/pp5p/1np5/8/3Pp1pq/1P2P1b1/PBQNRP1N/R5K1 w - - 0 22,545
4k3/2R3B1/5p1P/8/2p1K1P1/8/8/5r2 b - - 10 54,5450
R6k/1P6/8/3K3p/6p1/8/P7/1r6 b - - 1 38,5451
8/8/5kp1/3R4/8/4KP1p/8/8 b - - 1 60,5452
r1n5/p1k1q1rp/1p4p1/2PPN3/8/2Q5/P3BPPP/1RR3K1 b - - 0 29,5453
3q1k2/8/3PRPQ1/8/2p3K1/2b4P/8/8 b - - 0 50,5454
4R3/8/3k1K1P/8/8/8/8/5r2 w - - 7 70,5455
3r4/1R5P/4B1k1/8/4p3/5p2/5P1K/8 b - - 1 55,5456
5k2/R6K/8/2p4P/5rP1/8/8/8 w - - 3 47,5457
8/4k2p/R5p1/2PK4/8/1n4P1/7P/8 b - - 8 61,5459
r1b2rk1/2q1P1p1/p2p3p/1p1pbp1Q/8/2P5/PP1B1PPP/R3R1K1 w - - 1 24,546
1k6/R7/3PK3/6p1/1n4P1/8/p7/8 w - - 1 57,5460
6R1/4k3/8/4p3/4Kb1P/8/8/8 b - - 6 62,5461
8/8/5kr1/3B4/4P3/6K1/7R/8 w - - 1 58,5463
8/8/6p1/1p5r/1R5P/k1B5/2K5/8 b - - 7 51,5464
4B3/4B1k1/4K2n/8/8/8/8/8 b - - 6 80,5465
8/K7/7k/2R3p1/8/1P5P/1P4P1/1n6 w - - 3 52,5466
8/6k1/3r4/1R3PK1/6P1/8/8/8 b - - 2 67,5467
3Q4/1p1P1pk1/8/6p1/4r3/5p1P/4q1P1/2R4K w - - 0 44,5469
6k1/2p2p1r/1b1p1q2/5P2/6P1/5BP1/PP1Q2K1/4R3 b - - 4 40,547
8/3P4/2K2k2/p7/8/8/4R3/2r5 w - - 1 55,5470
1r5k/2R1R3/3p4/3P1N2/5PP1/6K1/7r/6n1 b - - 12 45,5472
8/1P6/R1K5/6k1/8/7P/2r5/8 w - - 1 61,5473
6R1/8/1KP1r3/1P3k2/6p1/8/8/8 b - - 0 70,5474
8/5k2/8/PB1K4/3B1b2/8/8/1n6 w - - 1 72,5475
8/8/1B3K1p/Pk5P/4B3/6r1/8/8 b - - 1 52,5476
8/8/4p3/4k1P1/5R1P/4P1r1/5K2/8 b - - 12 50,5477
8/8/8/r5k1/3BKR2/6P1/7P/8 w - - 9 57,5478
8/7p/4p1p1/6k1/p1N5/1p1P1KP1/1P5P/8 w - - 6 42,548
8/8/5B2/8/8/k1K5/8/2nB4 b - - 70 148,5480
4k3/8/6KP/8/8/4pRP1/8/6r1 b - - 7 65,5481
8/2b5/2B5/8/4Kp2/5Pk1/8/4B3 b - - 5 43,5482
8/8/3k1KP1/8/P4R2/8/7r/8 w - - 3 72,5483
8/K7/5k2/2B2n2/1N6/1B6/8/8 w - - 3 62,5484
8/4B1k1/1n2p3/2K1P2B/8/8/8/8 b - - 8 76,5485
8/5k2/p7/1pRp4/1q6/4QPnB/P7/4K3 w - - 4 37,5486
1r6/8/K1P5/8/6k1/8/P6p/2R5 w - - 0 48,5487
8/2k5/b1pr1b2/5B2/1P6/1Q6/6PP/5R1K w - - 6 47,5488
2k5/6R1/8/7P/5K2/1R6/8/6r1 b - - 2 51,5489
8/4k3/3p4/QKq3p1/4P3/5P1P/P5P1/8 w - - 7 97,549
8/6k1/4p3/2KnP1BB/8/8/8/8 b - - 10 77,5490
5k2/8/4R1n1/7P/4K1B1/8/7r/8 w - - 0 76,5492
1r3k2/R7/6P1/2pPP3/p7/8/5K2/8 w - - 0 82,5493
8/8/5k2/4p1bP/4K3/8/6R1/8 b - - 2 65,5494
8/6r1/4K3/5R2/3kP1P1/5P2/8/8 b - - 8 54,5495
5r1k/4R3/6pq/2pPQ3/8/1P5P/6P1/7K b - - 4 43,5496
8/3k1K2/3p4/2pP2B1/2P5/1Pb5/8/1B6 b - - 10 69,5497
3k4/pp1PR1p1/7p/2p5/5nr1/2P5/PP6/1K1R4 b - - 0 37,5498
5k2/5B1r/2P5/8/p7/2q1KQ2/5R2/8 w - - 5 55,5499
R3r2b/2qn1p1k/3p1npp/1p1P4/1PpBP3/2Q2PNP/4B1P1/4R1K1 b - - 0 25,55
6k1/2pq4/2R1pp1p/1P1pP3/pPnP3B/6r1/P1Q4P/7K b - - 0 37,550
6R1/2k5/2P5/p2K4/P6P/4P3/8/1r6 w - - 3 78,5500
nR3rk1/P4ppp/4p3/8/4BP2/8/5P1P/6K1 b - - 0 33,5501
3r2k1/6p1/3r2P1/2pPQ2P/1BP3q1/pP2R3/K7/5R2 b - - 0 46,5502
6k1/8/4K1p1/6PP/8/3R4/8/2b5 w - - 1 57,5503
5k2/R7/3PK2p/8/4P3/8/p7/4r3 w - - 6 62,5504
2k4R/2p5/1p2P3/pP1p1K2/P2r4/8/8/8 b - - 1 55,5505
5R2/4P3/p2p2k1/1pb2N1P/5P2/7K/4r3/8 b - - 0 55,5506
B6R/2P5/8/1p3r2/1P1K2b1/1P4k1/7p/8 w - - 2 50,5507
7k/PR3R2/2r4p/2p4P/8/2P5/1KP2p2/6r1 b - - 0 42,5508
8/2k5/2p1N1p1/p1K1p2p/P2R3P/6r1/2P5/8 b - - 1 48,5509
1r2rnk1/3q1pbp/6p1/BNpPpb1n/2B2P2/5N2/1P4PP/R3RQK1 w - - 2 23,551
8/8/5Br1/6P1/3Pk3/6R1/1P3K2/8 b - - 2 45,5510
3k4/8/2KBBp2/1P4pp/4P3/6P1/3r4/8 b - - 2 41,5511
6k1/p6p/7Q/r3B1pP/5p2/8/1PP5/q1KR2R1 w - - 1 36,5512
2r3k1/2Pn1q2/3Qp1p1/4P1P1/5P2/4K1N1/2R5/8 w - - 9 55,5513
5r1k/2R2N1p/4p1pN/8/3r1P2/1n6/6PP/5RK1 b - - 6 36,5514
R7/8/7p/P1B2ppk/8/1r5P/5PPK/8 w - - 5 47,5515
4r2k/7p/3N4/2p1n3/8/1B4P1/1B5P/6K1 b - - 3 50,5516
3r1k2/1Q4p1/3b1qp1/8/1BB2p2/8/PPK5/5R2 b - - 1 37,5517
8/4R1p1/4pp2/4PN1k/8/7P/4r3/7K w - - 0 45,5518
r7/5R1p/3pp1pk/p7/6P1/8/PP4KP/5R2 w - - 2 35,5519
7k/2p5/8/pB6/P4R1P/8/3r2pK/8 b - - 3 49,552
8/8/1K1Bk3/4P3/2Bn1p2/8/8/8 b - - 3 68,5521
2r3k1/1p3p2/p4P1R/6p1/P3q2p/5Q1P/7P/5R1K b - - 4 43,5522
5r2/3qNp1k/3p4/1n1P2Qp/1PR1P3/7P/6K1/8 b - - 3 40,5523
8/pp3B2/3p2k1/6Pb/8/7R/PKP5/8 b - - 2 41,5524
8/8/8/4B3/B1K5/8/1k2n3/8 b - - 54 140,5525
5rk1/p6p/5p2/p3R2Q/7K/5PP1/7P/5q2 w - - 0 39,5526
8/8/8/1P1nk3/P6P/8/8/5R1K w - - 1 65,5528
8/8/8/1k5p/5R2/P4P2/KP3P1r/8 w - - 2 39,553
8/P7/8/b1B4B/4bk2/2P1p3/4K3/8 w - - 7 57,5530
6k1/7p/3Q2p1/2pP4/2P2P2/5qPK/7P/8 w - - 1 40,5531
r3r2k/pp1R1Q1P/2p1q3/4p3/4B3/6BP/PP5K/8 b - - 2 28,5532
8/8/3kpK2/4p3/4P1P1/5P1R/5r1P/8 w - - 3 72,5533
8/8/3p4/p2k1K2/1p1P1P2/1PP5/1P6/8 b - - 0 64,5534
7k/3rb3/1R3pP1/3BpP2/1p2P1K1/8/8/8 w - - 2 53,5535
3r2k1/2R5/8/3P3p/3R2p1/2P1P3/2P3P1/6K1 b - - 1 37,5536
8/5nk1/8/7P/4N1K1/1B6/8/8 b - - 18 75,5537
4Rnk1/4Qpp1/p6p/8/8/7P/1P3PPK/1q6 b - - 0 39,5538
1b6/5k2/P7/1B1K4/3B4/8/8/1n6 w - - 1 73,5539
6rk/4rb2/2p1pp1P/1pPn4/pR6/6Q1/Pq4BN/5R1K w - - 4 36,554
5R2/ppn1P1pk/5P2/8/3B4/1p4P1/7P/6K1 b - - 0 45,5540
8/8/8/4P1k1/B2N4/1pK3Pb/8/8 b - - 0 77,5541
8/5r1k/7q/1Q4N1/7n/2P3R1/6PK/8 b - - 2 51,5542
8/8/8/5kpp/8/3N4/1Bp1K2P/8 b - - 1 43,5543
2B5/5k2/8/2B3P1/5K2/2b5/8/8 b - - 0 59,5544
4k3/R7/1P1KPp2/1P3P1p/8/8/8/2r5 b - - 2 69,5545
8/PB6/5k2/1N4pp/8/4KP2/r7/8 w - - 1 50,5546
8/6pk/1p4p1/5r2/P1Q5/2P3P1/3r1PK1/5R2 w - - 3 39,5547
6k1/R7/6P1/6K1/7P/8/p4r2/8 b - - 6 62,5548
8/2k2pn1/2p5/1p1NPPK1/1r6/2R4P/8/8 b - - 5 50,5549
r7/8/2b1p3/p1p4k/P1P3Bp/1PB1P2P/5K2/5N2 b - - 0 35,555
3r2k1/8/1Q5p/2N1p1p1/8/2q3P1/6P1/1K5R b - - 1 37,5550
5k2/7R/2P1p2N/6pP/5p2/5r2/6K1/8 b - - 1 50,5551
8/8/2k5/5KRP/Pr3P2/6P1/8/8 b - - 0 61,5552
8/2K2bP1/3p3k/5B2/3BP3/8/8/8 b - - 4 92,5553
8/R2R4/6pk/p1q2p1p/P6P/6P1/5PK1/8 b - - 22 66,5554
8/4k3/6p1/4K2p/5P2/5N2/5BnP/8 b - - 26 69,5555
3k4/8/b2P4/5B2/5B2/6pP/4Pn2/2N3K1 b - - 2 46,5556
8/3B2k1/4n3/7P/4N1K1/8/8/8 b - - 14 73,5557
5B2/1p6/pN1Pk2p/Pb5K/1P6/8/8/8 b - - 0 56,5558
5k2/R5R1/8/p7/1n6/3r1P2/6PK/8 w - - 3 63,5559
8/b7/P7/8/4k1pP/5pB1/3K1P2/8 b - - 8 55,556
2n1r1k1/1R6/6P1/1NpPp3/8/3B3P/7K/8 b - - 0 59,5560
6k1/6p1/4p3/4P3/2K4p/6N1/6B1/8 b - - 0 47,5561
4r2k/7p/4Q3/2p1nN2/8/6P1/1BB4P/6K1 b - - 0 48,5562
6K1/1k6/8/1BBp4/8/8/8/8 b - - 2 99,5563
6k1/2R5/1p6/R7/p6P/r4b2/3K1P1P/8 w - - 0 46,5564
8/8/P7/6p1/7k/7P/1Pr3P1/1R5K b - - 0 43,5565
5b2/8/P7/1k6/6KP/3pBN2/8/8 b - - 2 64,5567
8/8/1Pk5/P3P2p/2n4K/1N6/8/8 w - - 1 57,5568
7R/8/7p/4kpp1/8/4KPPP/8/8 b - - 1 50,5569
r5k1/1pqb1p1p/1np3p1/p1p1r2n/4P1P1/1PN1B2P/P4PB1/2RQR1K1 w - - 0 18,557
Q2R4/5r2/8/4p3/3pP3/6p1/3K1k2/8 w - - 1 65,5570
2b5/8/8/4P1k1/B2N4/1pK3P1/8/8 w - - 1 78,5571
8/5p2/2r2P1k/8/5RPP/1R5K/8/8 w - - 1 64,5573
4k3/8/p2P1p2/B2K1P2/2N5/7P/7r/8 b - - 4 53,5574
8/8/6k1/p7/P1P1B2Q/1P1b4/3qNK2/8 b - - 2 80,5575
8/1b6/pP1B1p2/5B1p/8/Pk2K3/7P/8 b - - 2 42,5576
r4k2/1q3p2/5Qp1/p7/1p6/5N2/PPr2PP1/2K4R w - - 0 38,5577
8/8/p5pk/1p6/8/1B2Qq1p/PP3P2/3R1K2 b - - 2 46,5578
